#proc cat nGausRV nGausWV
smH_YH_0p3_0p45 hgg_YH_0p1_0p2_cat0_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p2_0p3_cat1_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p2_0p3_cat2_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p2_0p3_cat0_16 3 1
smH_YH_0p3_0p45 hgg_YH_0p3_0p45_cat1_16 3 3
smH_YH_0p3_0p45 hgg_YH_0p3_0p45_cat2_16 3 1
smH_YH_0p3_0p45 hgg_YH_0p3_0p45_cat0_16 2 1
smH_YH_0p3_0p45 hgg_YH_0p45_0p6_cat1_16 2 -1
smH_YH_0p3_0p45 hgg_YH_0p45_0p6_cat2_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p45_0p6_cat0_16 1 1
smH_YH_0p3_0p45 hgg_YH_0p6_0p75_cat1_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p6_0p75_cat2_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p6_0p75_cat0_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p75_0p9_cat1_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p75_0p9_cat2_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p75_0p9_cat0_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p9_3p0_cat1_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p9_3p0_cat2_16 -1 -1
smH_YH_0p3_0p45 hgg_YH_0p9_3p0_cat0_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p0_0p1_cat1_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p0_0p1_cat2_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p0_0p1_cat0_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p1_0p2_cat1_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p1_0p2_cat2_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p1_0p2_cat0_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p2_0p3_cat1_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p2_0p3_cat2_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p2_0p3_cat0_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p3_0p45_cat1_16 4 -1
smH_YH_0p45_0p6 hgg_YH_0p3_0p45_cat2_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p3_0p45_cat0_16 4 1
smH_YH_0p45_0p6 hgg_YH_0p45_0p6_cat1_16 4 1
smH_YH_0p45_0p6 hgg_YH_0p45_0p6_cat2_16 2 2
smH_YH_0p45_0p6 hgg_YH_0p45_0p6_cat0_16 3 2
smH_YH_0p45_0p6 hgg_YH_0p6_0p75_cat1_16 1 1
smH_YH_0p45_0p6 hgg_YH_0p6_0p75_cat2_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p6_0p75_cat0_16 -1 1
smH_YH_0p45_0p6 hgg_YH_0p75_0p9_cat1_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p75_0p9_cat2_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p75_0p9_cat0_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p9_3p0_cat1_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p9_3p0_cat2_16 -1 -1
smH_YH_0p45_0p6 hgg_YH_0p9_3p0_cat0_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p0_0p1_cat1_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p0_0p1_cat2_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p0_0p1_cat0_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p1_0p2_cat1_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p1_0p2_cat2_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p1_0p2_cat0_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p2_0p3_cat1_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p2_0p3_cat2_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p2_0p3_cat0_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p3_0p45_cat1_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p3_0p45_cat2_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p3_0p45_cat0_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p45_0p6_cat1_16 4 1
smH_YH_0p6_0p75 hgg_YH_0p45_0p6_cat2_16 3 -1
smH_YH_0p6_0p75 hgg_YH_0p45_0p6_cat0_16 -1 3
smH_YH_0p6_0p75 hgg_YH_0p6_0p75_cat1_16 3 1
smH_YH_0p6_0p75 hgg_YH_0p6_0p75_cat2_16 3 2
smH_YH_0p6_0p75 hgg_YH_0p6_0p75_cat0_16 3 2
smH_YH_0p6_0p75 hgg_YH_0p75_0p9_cat1_16 3 1
smH_YH_0p6_0p75 hgg_YH_0p75_0p9_cat2_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p75_0p9_cat0_16 -1 1
smH_YH_0p6_0p75 hgg_YH_0p9_3p0_cat1_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p9_3p0_cat2_16 -1 -1
smH_YH_0p6_0p75 hgg_YH_0p9_3p0_cat0_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p0_0p1_cat1_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p0_0p1_cat2_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p0_0p1_cat0_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p1_0p2_cat1_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p1_0p2_cat2_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p1_0p2_cat0_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p2_0p3_cat1_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p2_0p3_cat2_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p2_0p3_cat0_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p3_0p45_cat1_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p3_0p45_cat2_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p3_0p45_cat0_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p45_0p6_cat1_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p45_0p6_cat2_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p45_0p6_cat0_16 -1 -1
smH_YH_0p75_0p9 hgg_YH_0p6_0p75_cat1_16 4 1
smH_YH_0p75_0p9 hgg_YH_0p6_0p75_cat2_16 4 -1
smH_YH_0p75_0p9 hgg_YH_0p6_0p75_cat0_16 -1 2
smH_YH_0p75_0p9 hgg_YH_0p75_0p9_cat1_16 4 2
smH_YH_0p75_0p9 hgg_YH_0p75_0p9_cat2_16 2 3
smH_YH_0p75_0p9 hgg_YH_0p75_0p9_cat0_16 2 1
smH_YH_0p75_0p9 hgg_YH_0p9_3p0_cat1_16 2 2
smH_YH_0p75_0p9 hgg_YH_0p9_3p0_cat2_16 2 -1
smH_YH_0p75_0p9 hgg_YH_0p9_3p0_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p0_0p1_cat1_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p0_0p1_cat2_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p0_0p1_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p1_0p2_cat1_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p1_0p2_cat2_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p1_0p2_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p2_0p3_cat1_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p2_0p3_cat2_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p2_0p3_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p3_0p45_cat1_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p3_0p45_cat2_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p3_0p45_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p45_0p6_cat1_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p45_0p6_cat2_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p45_0p6_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p6_0p75_cat1_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p6_0p75_cat2_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p6_0p75_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p75_0p9_cat1_16 2 1
smH_YH_0p9_3p0 hgg_YH_0p75_0p9_cat2_16 1 -1
smH_YH_0p9_3p0 hgg_YH_0p75_0p9_cat0_16 -1 -1
smH_YH_0p9_3p0 hgg_YH_0p9_3p0_cat1_16 2 3
smH_YH_0p9_3p0 hgg_YH_0p9_3p0_cat2_16 2 1
smH_YH_0p9_3p0 hgg_YH_0p9_3p0_cat0_16 2 2
OutsideAcceptance hgg_YH_0p0_0p1_cat1_16 -1 -1
OutsideAcceptance hgg_YH_0p0_0p1_cat2_16 -1 -1 smH_YH_0p0_0p1 hgg_YH_0p0_0p1_cat1_16
OutsideAcceptance hgg_YH_0p0_0p1_cat0_16 -1 -1
OutsideAcceptance hgg_YH_0p1_0p2_cat1_16 -1 -1
OutsideAcceptance hgg_YH_0p1_0p2_cat2_16 -1 -1
OutsideAcceptance hgg_YH_0p1_0p2_cat0_16 -1 -1
OutsideAcceptance hgg_YH_0p2_0p3_cat1_16 -1 -1
OutsideAcceptance hgg_YH_0p2_0p3_cat2_16 -1 -1
OutsideAcceptance hgg_YH_0p2_0p3_cat0_16 -1 -1
OutsideAcceptance hgg_YH_0p3_0p45_cat1_16 -1 -1
OutsideAcceptance hgg_YH_0p3_0p45_cat2_16 -1 -1
OutsideAcceptance hgg_YH_0p3_0p45_cat0_16 3 -1
OutsideAcceptance hgg_YH_0p45_0p6_cat1_16 -1 -1
OutsideAcceptance hgg_YH_0p45_0p6_cat2_16 -1 -1
OutsideAcceptance hgg_YH_0p45_0p6_cat0_16 -1 -1
OutsideAcceptance hgg_YH_0p6_0p75_cat1_16 -1 -1
OutsideAcceptance hgg_YH_0p6_0p75_cat2_16 -1 -1
OutsideAcceptance hgg_YH_0p6_0p75_cat0_16 -1 -1
OutsideAcceptance hgg_YH_0p75_0p9_cat1_16 -1 -1
OutsideAcceptance hgg_YH_0p75_0p9_cat2_16 -1 -1
OutsideAcceptance hgg_YH_0p75_0p9_cat0_16 -1 -1
OutsideAcceptance hgg_YH_0p9_3p0_cat1_16 1 -1
OutsideAcceptance hgg_YH_0p9_3p0_cat2_16 2 1
OutsideAcceptance hgg_YH_0p9_3p0_cat0_16 -1 -1
