#proc cat nGausRV nGausWV
smH_PTJ1_40p0_65p0 hgg_PTJ1_m1000p0_30p0_cat1_17 2 1
smH_PTJ1_40p0_65p0 hgg_PTJ1_m1000p0_30p0_cat2_17 1 2
smH_PTJ1_65p0_90p0 hgg_PTJ1_150p0_10000p0_cat0_17 -1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_150p0_10000p0_cat1_17 -1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_150p0_10000p0_cat2_17 -1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_30p0_40p0_cat0_17 -1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_30p0_40p0_cat1_17 -1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_30p0_40p0_cat2_17 -1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_40p0_65p0_cat0_17 2 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_40p0_65p0_cat1_17 2 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_40p0_65p0_cat2_17 1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_65p0_90p0_cat0_17 4 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_65p0_90p0_cat1_17 2 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_65p0_90p0_cat2_17 3 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_90p0_150p0_cat0_17 2 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_90p0_150p0_cat1_17 1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_90p0_150p0_cat2_17 1 -1
smH_PTJ1_65p0_90p0 hgg_PTJ1_m1000p0_30p0_cat0_17 1 1
smH_PTJ1_65p0_90p0 hgg_PTJ1_m1000p0_30p0_cat1_17 2 1
smH_PTJ1_65p0_90p0 hgg_PTJ1_m1000p0_30p0_cat2_17 2 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_150p0_10000p0_cat0_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_150p0_10000p0_cat1_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_150p0_10000p0_cat2_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_30p0_40p0_cat0_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_30p0_40p0_cat1_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_30p0_40p0_cat2_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_40p0_65p0_cat0_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_40p0_65p0_cat1_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_40p0_65p0_cat2_17 -1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_65p0_90p0_cat0_17 2 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_65p0_90p0_cat1_17 1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_65p0_90p0_cat2_17 2 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_90p0_150p0_cat0_17 4 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_90p0_150p0_cat1_17 3 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_90p0_150p0_cat2_17 2 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_m1000p0_30p0_cat0_17 1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_m1000p0_30p0_cat1_17 1 -1
smH_PTJ1_90p0_150p0 hgg_PTJ1_m1000p0_30p0_cat2_17 2 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_150p0_10000p0_cat0_17 -1 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_150p0_10000p0_cat1_17 -1 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_150p0_10000p0_cat2_17 -1 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_30p0_40p0_cat0_17 3 3
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_30p0_40p0_cat1_17 4 4
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_30p0_40p0_cat2_17 2 1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_40p0_65p0_cat0_17 4 4
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_40p0_65p0_cat1_17 2 4
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_40p0_65p0_cat2_17 1 1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_65p0_90p0_cat0_17 4 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_65p0_90p0_cat1_17 2 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_65p0_90p0_cat2_17 1 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_90p0_150p0_cat0_17 -1 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_90p0_150p0_cat1_17 -1 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_90p0_150p0_cat2_17 -1 -1
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_m1000p0_30p0_cat0_17 3 2
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_m1000p0_30p0_cat1_17 4 4
smH_PTJ1_m1000p0_30p0 hgg_PTJ1_m1000p0_30p0_cat2_17 4 2
