#proc cat nGausRV nGausWV
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_2p95_3p07_cat1_17 1 -1
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_2p95_3p07_cat2_17 1 -1
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_3p07_3p2_cat0_17 1 -1
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_3p07_3p2_cat1_17 3 -1
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_3p07_3p2_cat2_17 1 -1
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_m1000p0_0p0_cat0_17 1 1
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_m1000p0_0p0_cat1_17 2 1
smH_DPhiHJJ_2p7_2p95 hgg_DPhiHJJ_m1000p0_0p0_cat2_17 1 1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_0p0_2p0_cat0_17 -1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_0p0_2p0_cat1_17 -1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_0p0_2p0_cat2_17 -1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p0_2p7_cat0_17 4 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p0_2p7_cat1_17 3 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p0_2p7_cat2_17 2 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p7_2p95_cat0_17 1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p7_2p95_cat1_17 1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p7_2p95_cat2_17 1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p95_3p07_cat0_17 4 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p95_3p07_cat1_17 1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_2p95_3p07_cat2_17 1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_3p07_3p2_cat0_17 1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_3p07_3p2_cat1_17 -1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_3p07_3p2_cat2_17 1 -1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_m1000p0_0p0_cat0_17 2 1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_m1000p0_0p0_cat1_17 2 1
smH_DPhiHJJ_2p95_3p07 hgg_DPhiHJJ_m1000p0_0p0_cat2_17 1 1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_0p0_2p0_cat0_17 4 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_0p0_2p0_cat1_17 -1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_0p0_2p0_cat2_17 -1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p0_2p7_cat0_17 -1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p0_2p7_cat1_17 -1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p0_2p7_cat2_17 3 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p7_2p95_cat0_17 2 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p7_2p95_cat1_17 2 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p7_2p95_cat2_17 1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p95_3p07_cat0_17 4 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p95_3p07_cat1_17 1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_2p95_3p07_cat2_17 1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_3p07_3p2_cat0_17 3 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_3p07_3p2_cat1_17 2 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_3p07_3p2_cat2_17 1 -1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_m1000p0_0p0_cat0_17 2 1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_m1000p0_0p0_cat1_17 2 1
smH_DPhiHJJ_3p07_3p2 hgg_DPhiHJJ_m1000p0_0p0_cat2_17 1 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_0p0_2p0_cat0_17 1 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_0p0_2p0_cat1_17 1 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_0p0_2p0_cat2_17 1 2
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p0_2p7_cat0_17 1 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p0_2p7_cat1_17 1 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p0_2p7_cat2_17 1 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p7_2p95_cat0_17 2 3
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p7_2p95_cat1_17 1 -1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p7_2p95_cat2_17 2 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p95_3p07_cat0_17 1 -1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p95_3p07_cat1_17 2 -1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_2p95_3p07_cat2_17 2 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_3p07_3p2_cat0_17 2 -1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_3p07_3p2_cat1_17 1 -1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_3p07_3p2_cat2_17 1 -1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_m1000p0_0p0_cat0_17 2 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_m1000p0_0p0_cat1_17 2 1
smH_DPhiHJJ_m1000p0_0p0 hgg_DPhiHJJ_m1000p0_0p0_cat2_17 2 1
