#proc cat nGausRV nGausWV
InsideAcceptance_genPt_200p0_350p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_200p0_350p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 2
InsideAcceptance_genPt_30p0_60p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 1
InsideAcceptance_genPt_30p0_60p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 1
InsideAcceptance_genPt_30p0_60p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_30p0_60p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_0p0_30p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_120p0_200p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_200p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_30p0_60p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_60p0_120p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 4
InsideAcceptance_genPt_60p0_120p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 2
InsideAcceptance_genPt_60p0_120p0 recoPt_60p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 1
OutsideAcceptance recoPt_0p0_30p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 -1
OutsideAcceptance recoPt_0p0_30p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_0p0_30p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_120p0_200p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_120p0_200p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_120p0_200p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_200p0_350p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
OutsideAcceptance recoPt_200p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 3 -1
OutsideAcceptance recoPt_200p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_30p0_60p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 4
OutsideAcceptance recoPt_30p0_60p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 1
OutsideAcceptance recoPt_30p0_60p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoPt_60p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 2
OutsideAcceptance recoPt_60p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 3 1
OutsideAcceptance recoPt_60p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 1
