#proc cat nGausRV nGausWV
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_0p0_2p0_cat2_18 2 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p0_2p6_cat0_18 2 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p0_2p6_cat1_18 1 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p0_2p6_cat2_18 2 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p6_2p85_cat0_18 3 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p6_2p85_cat1_18 2 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p6_2p85_cat2_18 2 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p85_3p0_cat0_18 4 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p85_3p0_cat1_18 2 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_2p85_3p0_cat2_18 2 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_3p07_3p2_cat0_18 -1 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_3p07_3p2_cat1_18 -1 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_3p07_3p2_cat2_18 -1 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_3p0_3p07_cat0_18 -1 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_3p0_3p07_cat1_18 -1 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_3p0_3p07_cat2_18 -1 -1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_m1000p0_0p0_cat0_18 2 1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_m1000p0_0p0_cat1_18 2 1
smH_DPhiHJ0_2p6_2p85 hgg_DPhiHJ0_m1000p0_0p0_cat2_18 1 1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_0p0_2p0_cat0_18 3 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_0p0_2p0_cat1_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_0p0_2p0_cat2_18 1 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p0_2p6_cat0_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p0_2p6_cat1_18 1 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p0_2p6_cat2_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p6_2p85_cat0_18 3 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p6_2p85_cat1_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p6_2p85_cat2_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p85_3p0_cat0_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p85_3p0_cat1_18 4 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_2p85_3p0_cat2_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_3p07_3p2_cat0_18 -1 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_3p07_3p2_cat1_18 -1 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_3p07_3p2_cat2_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_3p0_3p07_cat0_18 4 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_3p0_3p07_cat1_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_3p0_3p07_cat2_18 2 -1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_m1000p0_0p0_cat0_18 2 1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_m1000p0_0p0_cat1_18 2 1
smH_DPhiHJ0_2p85_3p0 hgg_DPhiHJ0_m1000p0_0p0_cat2_18 1 1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_0p0_2p0_cat0_18 1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_0p0_2p0_cat1_18 2 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_0p0_2p0_cat2_18 3 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p0_2p6_cat0_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p0_2p6_cat1_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p0_2p6_cat2_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p6_2p85_cat0_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p6_2p85_cat1_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p6_2p85_cat2_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p85_3p0_cat0_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p85_3p0_cat1_18 -1 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_2p85_3p0_cat2_18 3 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_3p07_3p2_cat0_18 3 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_3p07_3p2_cat1_18 2 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_3p07_3p2_cat2_18 2 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_3p0_3p07_cat0_18 2 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_3p0_3p07_cat1_18 3 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_3p0_3p07_cat2_18 2 -1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_m1000p0_0p0_cat0_18 2 1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_m1000p0_0p0_cat1_18 2 1
smH_DPhiHJ0_3p07_3p2 hgg_DPhiHJ0_m1000p0_0p0_cat2_18 1 1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_0p0_2p0_cat0_18 4 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_0p0_2p0_cat1_18 2 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_0p0_2p0_cat2_18 4 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p0_2p6_cat0_18 -1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p0_2p6_cat1_18 -1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p0_2p6_cat2_18 -1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p6_2p85_cat0_18 -1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p6_2p85_cat1_18 -1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p6_2p85_cat2_18 -1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p85_3p0_cat0_18 1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p85_3p0_cat1_18 2 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_2p85_3p0_cat2_18 2 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_3p07_3p2_cat0_18 3 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_3p07_3p2_cat1_18 2 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_3p07_3p2_cat2_18 1 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_3p0_3p07_cat0_18 2 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_3p0_3p07_cat1_18 4 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_3p0_3p07_cat2_18 2 -1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_m1000p0_0p0_cat0_18 2 1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_m1000p0_0p0_cat1_18 2 1
smH_DPhiHJ0_3p0_3p07 hgg_DPhiHJ0_m1000p0_0p0_cat2_18 1 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_0p0_2p0_cat0_18 2 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_0p0_2p0_cat1_18 2 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_0p0_2p0_cat2_18 2 2
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p0_2p6_cat0_18 2 2
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p0_2p6_cat1_18 1 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p0_2p6_cat2_18 1 3
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p6_2p85_cat0_18 1 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p6_2p85_cat1_18 4 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p6_2p85_cat2_18 1 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p85_3p0_cat0_18 2 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p85_3p0_cat1_18 2 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_2p85_3p0_cat2_18 2 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_3p07_3p2_cat0_18 2 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_3p07_3p2_cat1_18 2 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_3p07_3p2_cat2_18 2 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_3p0_3p07_cat0_18 1 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_3p0_3p07_cat1_18 1 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_3p0_3p07_cat2_18 1 -1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_m1000p0_0p0_cat0_18 2 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_m1000p0_0p0_cat1_18 2 1
smH_DPhiHJ0_m1000p0_0p0 hgg_DPhiHJ0_m1000p0_0p0_cat2_18 2 1
