#proc cat nGausRV nGausWV
smH_PTH_0p0_30p0 hgg_PTH_0p0_30p0_cat1_17 1 -1
smH_PTH_0p0_30p0 hgg_PTH_0p0_30p0_cat2_17 1 -1
smH_PTH_0p0_30p0 hgg_PTH_0p0_30p0_cat0_17 1 -1
smH_PTH_0p0_30p0 hgg_PTH_120p0_200p0_cat1_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_120p0_200p0_cat2_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_120p0_200p0_cat0_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_200p0_350p0_cat1_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_200p0_350p0_cat2_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_200p0_350p0_cat0_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_30p0_60p0_cat1_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_30p0_60p0_cat2_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_30p0_60p0_cat0_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_350p0_10000p0_cat1_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_350p0_10000p0_cat2_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_350p0_10000p0_cat0_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_60p0_120p0_cat1_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_60p0_120p0_cat2_17 -1 -1
smH_PTH_0p0_30p0 hgg_PTH_60p0_120p0_cat0_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_0p0_30p0_cat1_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_0p0_30p0_cat2_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_0p0_30p0_cat0_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_120p0_200p0_cat1_17 1 -1
smH_PTH_120p0_200p0 hgg_PTH_120p0_200p0_cat2_17 1 -1
smH_PTH_120p0_200p0 hgg_PTH_120p0_200p0_cat0_17 2 3
smH_PTH_120p0_200p0 hgg_PTH_200p0_350p0_cat1_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_200p0_350p0_cat2_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_200p0_350p0_cat0_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_30p0_60p0_cat1_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_30p0_60p0_cat2_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_30p0_60p0_cat0_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_350p0_10000p0_cat1_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_350p0_10000p0_cat2_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_350p0_10000p0_cat0_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_60p0_120p0_cat1_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_60p0_120p0_cat2_17 -1 -1
smH_PTH_120p0_200p0 hgg_PTH_60p0_120p0_cat0_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_0p0_30p0_cat1_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_0p0_30p0_cat2_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_0p0_30p0_cat0_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_120p0_200p0_cat1_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_120p0_200p0_cat2_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_120p0_200p0_cat0_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_200p0_350p0_cat1_17 2 -1
smH_PTH_200p0_350p0 hgg_PTH_200p0_350p0_cat2_17 2 -1
smH_PTH_200p0_350p0 hgg_PTH_200p0_350p0_cat0_17 1 -1
smH_PTH_200p0_350p0 hgg_PTH_30p0_60p0_cat1_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_30p0_60p0_cat2_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_30p0_60p0_cat0_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_350p0_10000p0_cat1_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_350p0_10000p0_cat2_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_350p0_10000p0_cat0_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_60p0_120p0_cat1_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_60p0_120p0_cat2_17 -1 -1
smH_PTH_200p0_350p0 hgg_PTH_60p0_120p0_cat0_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_0p0_30p0_cat1_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_0p0_30p0_cat2_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_0p0_30p0_cat0_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_120p0_200p0_cat1_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_120p0_200p0_cat2_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_120p0_200p0_cat0_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_200p0_350p0_cat1_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_200p0_350p0_cat2_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_200p0_350p0_cat0_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_30p0_60p0_cat1_17 1 -1
smH_PTH_30p0_60p0 hgg_PTH_30p0_60p0_cat2_17 2 1
smH_PTH_30p0_60p0 hgg_PTH_30p0_60p0_cat0_17 1 1
smH_PTH_30p0_60p0 hgg_PTH_350p0_10000p0_cat1_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_350p0_10000p0_cat2_17 -1 -1
smH_PTH_30p0_60p0 hgg_PTH_350p0_10000p0_cat0_17 -1 -1
