#proc cat nGausRV nGausWV
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_200p0_10000p0_cat2_17 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_30p0_50p0_cat0_17 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_30p0_50p0_cat1_17 2 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_30p0_50p0_cat2_17 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_50p0_100p0_cat0_17 4 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_50p0_100p0_cat1_17 4 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_50p0_100p0_cat2_17 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_0p0_30p0_cat0_17 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_0p0_30p0_cat1_17 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_0p0_30p0_cat2_17 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_100p0_200p0_cat0_17 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_100p0_200p0_cat1_17 4 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_100p0_200p0_cat2_17 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_200p0_10000p0_cat0_17 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_200p0_10000p0_cat1_17 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_200p0_10000p0_cat2_17 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_30p0_50p0_cat0_17 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_30p0_50p0_cat1_17 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_30p0_50p0_cat2_17 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_50p0_100p0_cat0_17 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_50p0_100p0_cat1_17 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_50p0_100p0_cat2_17 3 -1
