#proc cat nGausRV nGausWV
InsideAcceptance_genPt_120p0_350p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genPt_120p0_350p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_45p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_45p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_45p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_120p0_350p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_120p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_120p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_0p0_45p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_0p0_45p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_0p0_45p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_120p0_350p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_120p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_120p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_45p0_120p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 1
InsideAcceptance_genPt_45p0_120p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 2
InsideAcceptance_genPt_45p0_120p0 recoPt_45p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 3
OutsideAcceptance recoPt_0p0_45p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 3 1
OutsideAcceptance recoPt_0p0_45p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 4
OutsideAcceptance recoPt_0p0_45p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 1
OutsideAcceptance recoPt_120p0_350p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_120p0_350p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoPt_120p0_350p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoPt_45p0_120p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 3
OutsideAcceptance recoPt_45p0_120p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 1
OutsideAcceptance recoPt_45p0_120p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 3
