#proc cat nGausRV nGausWV
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_1p8_2p5 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 4 2
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_2p5_3p5 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 1
InsideAcceptance_genJet4p7AbsRapidity1_3p5_5p0 recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 2
OutsideAcceptance recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_0p0_0p6_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
OutsideAcceptance recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_0p6_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_1p2_1p8_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
OutsideAcceptance recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_1p8_2p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_2p5_3p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
OutsideAcceptance recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
OutsideAcceptance recoJet4p7AbsRapidity1_3p5_5p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
