#proc cat nGausRV nGausWV
smH_TCJ_50p0_80p0 hgg_TCJ_15p0_20p0_cat2_16 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_20p0_30p0_cat0_16 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_20p0_30p0_cat1_16 4 -1
smH_TCJ_50p0_80p0 hgg_TCJ_20p0_30p0_cat2_16 4 -1
smH_TCJ_50p0_80p0 hgg_TCJ_30p0_50p0_cat0_16 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_30p0_50p0_cat1_16 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_30p0_50p0_cat2_16 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_50p0_80p0_cat0_16 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_50p0_80p0_cat1_16 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_50p0_80p0_cat2_16 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_80p0_10000p0_cat0_16 4 -1
smH_TCJ_50p0_80p0 hgg_TCJ_80p0_10000p0_cat1_16 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_80p0_10000p0_cat2_16 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_m1000p0_15p0_cat0_16 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_m1000p0_15p0_cat1_16 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_m1000p0_15p0_cat2_16 1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_15p0_20p0_cat0_16 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_15p0_20p0_cat1_16 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_15p0_20p0_cat2_16 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_20p0_30p0_cat0_16 3 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_20p0_30p0_cat1_16 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_20p0_30p0_cat2_16 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_30p0_50p0_cat0_16 3 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_30p0_50p0_cat1_16 1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_30p0_50p0_cat2_16 1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_50p0_80p0_cat0_16 4 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_50p0_80p0_cat1_16 4 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_50p0_80p0_cat2_16 3 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_80p0_10000p0_cat0_16 1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_80p0_10000p0_cat1_16 1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_80p0_10000p0_cat2_16 1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_m1000p0_15p0_cat0_16 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_m1000p0_15p0_cat1_16 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_m1000p0_15p0_cat2_16 -1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_15p0_20p0_cat0_16 3 1
smH_TCJ_m1000p0_15p0 hgg_TCJ_15p0_20p0_cat1_16 3 4
smH_TCJ_m1000p0_15p0 hgg_TCJ_15p0_20p0_cat2_16 1 1
smH_TCJ_m1000p0_15p0 hgg_TCJ_20p0_30p0_cat0_16 3 1
smH_TCJ_m1000p0_15p0 hgg_TCJ_20p0_30p0_cat1_16 1 1
smH_TCJ_m1000p0_15p0 hgg_TCJ_20p0_30p0_cat2_16 1 3
smH_TCJ_m1000p0_15p0 hgg_TCJ_30p0_50p0_cat0_16 4 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_30p0_50p0_cat1_16 1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_30p0_50p0_cat2_16 3 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_50p0_80p0_cat0_16 -1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_50p0_80p0_cat1_16 -1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_50p0_80p0_cat2_16 -1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_80p0_10000p0_cat0_16 -1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_80p0_10000p0_cat1_16 -1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_80p0_10000p0_cat2_16 -1 -1
smH_TCJ_m1000p0_15p0 hgg_TCJ_m1000p0_15p0_cat0_16 4 1
smH_TCJ_m1000p0_15p0 hgg_TCJ_m1000p0_15p0_cat1_16 3 2
smH_TCJ_m1000p0_15p0 hgg_TCJ_m1000p0_15p0_cat2_16 3 1
