#proc cat nGausRV nGausWV
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 3 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 4 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 3 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 4 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 4 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 1 1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 4 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 3 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_1p5_2p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 4 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 3 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_3p5_100 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 4 1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 2
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 3 1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 3 1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_2p5_3p5 recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 InsideAcceptance_genNjets2p5_0p5_1p5 recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 4 2
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 4 2
InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 4 3
OutsideAcceptance recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 -1
OutsideAcceptance recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
OutsideAcceptance recoNjets2p5_0p5_1p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 4 -1
OutsideAcceptance recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 4 -1
OutsideAcceptance recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 4 -1
OutsideAcceptance recoNjets2p5_1p5_2p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 2 -1
OutsideAcceptance recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
OutsideAcceptance recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1
OutsideAcceptance recoNjets2p5_2p5_3p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
OutsideAcceptance recoNjets2p5_3p5_100_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 -1
OutsideAcceptance recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
OutsideAcceptance recoNjets2p5_3p5_100_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 3 -1
OutsideAcceptance recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 2
OutsideAcceptance recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 1
OutsideAcceptance recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1 InsideAcceptance_genNjets2p5_m0p5_0p5 recoNjets2p5_m0p5_0p5_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18
